name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Kamio Recoil,2016-12-21,2016,12,Shindenken,Action;Indie,6.37,0-20000,0,2,1.0,True,True,False,False,True,557420,False
Able Black,2016-12-21,2016,12,Skot Leach,Indie,4.55,0-20000,0,15,1.0,True,True,False,False,True,557570,False
Ancient Guardian,2016-12-21,2016,12,Hell Squirrel Games,Action;Adventure;Indie;Early Access,5.69,20000-50000,20000,118,0.754,True,True,False,False,True,557580,False
Gorogoa,2017-12-14,2017,12,Buried Signal,Adventure;Casual;Indie,12.98,100000-200000,100000,4868,0.974,True,True,True,True,True,557600,False
Hello Charlotte EP2: Requiem Aeternam Deo,2016-11-21,2016,11,etherane,Violent;Gore;Adventure;Indie;RPG,2.38,0-20000,0,286,0.958,True,True,False,True,True,557630,False
Spooky Night,2016-12-31,2016,12,AurealStudio,Action;Casual;Free to Play;Indie;Strategy,0.0,0-20000,0,21,0.857,True,True,False,False,True,557670,True
Empyrean,2016-12-01,2016,12,Choice of Games,Adventure;Indie;RPG,5.46,0-20000,0,12,0.75,True,True,False,False,True,557700,False
I Hate Santa,2016-12-02,2016,12,VirtualRock VR,Action;Casual;Indie,2.27,0-20000,0,16,0.875,True,True,False,False,True,557730,False
Atom Fishing II,2016-11-29,2016,11,Woolf,Free to Play;Indie;Massively Multiplayer;Simulation,0.0,200000-500000,200000,926,0.719,True,True,True,False,True,557780,True
Goblet of Maya,2016-12-15,2016,12,CubeInSquare,Adventure;Indie,1.93,20000-50000,20000,14,0.929,True,True,False,False,True,557790,False
My Pet Rock,2017-01-23,2017,1,Carl Games,Action;Indie,2.27,0-20000,0,22,0.818,True,False,False,False,True,557830,False
Say Goodbye,2017-01-03,2017,1,morojenoe's empire,Violent;Adventure;Casual;Free to Play;Indie,0.0,20000-50000,20000,168,0.565,True,False,False,False,True,557880,True
Sunset's Ashes,2016-11-17,2016,11,Fifth One,Casual;Free to Play;Indie,0.0,200000-500000,200000,108,0.898,True,True,True,True,True,557890,True
The Muybridge Mausoleum,2017-07-10,2017,7,Most Ancient,Casual;Indie,0.0,0-20000,0,5,0.8,True,False,False,False,True,557940,True
Beach Bowling Dream VR,2017-01-13,2017,1,"Lucid Dreams VR, LLC",Casual;Indie;Sports,0.9,0-20000,0,15,0.467,True,False,False,False,True,557960,False
Teria,2017-01-17,2017,1,ElZzap Software,Action;Adventure;Indie,0.9,0-20000,0,19,0.421,True,False,False,False,True,557970,False
Princess Kidnapper VR,2016-11-17,2016,11,MAGIC ERA,Action;Adventure;Casual;Indie;Strategy,5.69,0-20000,0,9,0.556,True,True,False,False,True,558050,False
Candy Island,2016-11-27,2016,11,Fun Rainbow,Casual;Indie,5.69,0-20000,0,5,0.4,True,True,False,False,True,558060,False
Art of War: Red Tides,2016-12-22,2016,12,Game Science,Violent;Free to Play;Indie;Strategy;Early Access,0.0,1000000-2000000,1000000,6027,0.806,True,True,True,True,True,558100,True
Odyssey - The Story of Science,2017-04-19,2017,4,The Young Socratics,Adventure;Indie,12.53,0-20000,0,130,0.746,True,False,False,False,True,558110,False
Cannonfire Concerto,2016-12-08,2016,12,Choice of Games,Adventure;Indie;RPG,3.29,0-20000,0,19,0.842,True,True,False,False,True,558410,False
The Night Christmas Ended,2016-12-04,2016,12,Giant Goblin Studio,Action;Casual;Indie,4.55,0-20000,0,6,1.0,True,True,False,False,True,558440,False
Fibrillation HD,2017-04-11,2017,4,Egor Rezenov,Adventure;Indie,3.18,0-20000,0,168,0.881,True,False,False,True,True,558450,False
Crossroad Mysteries: The Broken Deal,2017-09-01,2017,9,N-Tri Studio,Adventure;Casual;Indie,8.2,0-20000,0,63,0.746,True,False,False,False,True,558490,False
Star Kingdom - The Elements,2016-12-07,2016,12,"Hyperator, Inc.",Casual;Indie;Strategy;Early Access,1.93,0-20000,0,2,0.5,True,True,False,False,True,558650,False
it's always monday,2016-11-22,2016,11,Alonzu;@alonzubin,Adventure;Indie;Simulation,0.9,20000-50000,20000,262,0.828,True,True,False,True,True,558660,False
Tribal Siege,2017-06-13,2017,6,BOHDOKUMEN.,Action;Indie;Strategy;Early Access,17.09,0-20000,0,3,0.333,True,False,False,False,True,558720,False
CRAFT: Work VR Shop,2016-12-07,2016,12,CRAFT,Indie;Simulation;Early Access,5.69,0-20000,0,10,0.4,True,True,False,False,True,558740,False
Sonya: The Great Adventure,2017-04-14,2017,4,Specialbit Studio,Adventure;Casual;Indie,5.69,0-20000,0,38,0.789,True,False,False,False,True,558780,False
Children of Colossus,2016-12-15,2016,12,Colossus Interactive,Action;Indie,4.55,0-20000,0,27,0.704,True,True,False,False,True,558850,False
Club Naughty,2016-11-18,2016,11,Ripknot Systems,Sexual Content;Nudity;Action;Casual;Indie;RPG;Simulation;Strategy,28.49,0-20000,0,101,0.396,True,True,False,False,True,558870,False
